0 45 37 30
1 30 22 18
2 27 21 13
3 41 34 27
4 50 41 32
5 57 49 43
6 46 40 35
7 43 37 32
8 47 39 33
9 53 44 36
10 49 44 39
11 39 30 20
12 22 20 17
13 21 18 15
14 32 25 16
15 45 40 31
16 42 32 16
17 26 20 12
18 29 16 6
19 24 16 6
20 27 24 21
21 46 30 17
22 49 38 31
23 37 32 27
24 36 33 28
25 37 35 33
26 45 38 34
27 34 32 27
28 32 29 24
29 54 40 24
30 58 52 46
31 46 39 37
32 48 40 36
33 38 36 34
34 38 37 34
35 40 37 33
36 35 32 30
37 37 33 30
38 38 32 28
39 36 30 23
40 36 28 15
41 20 15 10
42 36 26 17
43 37 29 22
44 37 33 29
45 43 39 34
46 48 42 36
47 50 40 31
48 39 34 32
49 34 32 30
50 44 37 30
51 42 39 34
52 44 39 35
53 38 37 35
54 35 32 26
55 30 25 21
56 52 39 25
57 42 34 30
58 42 37 31
59 61 47 35
60 40 39 36
61 40 37 35
62 35 32 30
63 33 30 27
64 37 30 22
65 69 52 33
66 68 62 56
67 63 44 38
68 40 35 31
69 60 45 30
70 69 56 42
71 66 60 53
72 66 58 52
73 81 70 54
74 81 66 45
75 71 57 44
76 82 71 61
77 81 71 63
78 76 70 66
79 86 78 68
80 87 76 68
81 79 71 61
82 64 58 52
83 59 52 49
84 65 53 44
85 46 40 37
86 72 56 41
87 67 58 47
88 47 43 40
89 50 45 40
90 46 41 38
91 56 49 45
92 57 52 46
93 60 53 48
94 50 48 46
95 47 43 40
96 48 44 41
97 66 55 43
98 65 55 47
99 62 54 43
100 44 40 35
101 46 40 34
102 58 49 39
103 65 57 50
104 66 60 54
105 77 68 56
106 67 56 48
107 49 46 43
108 72 60 46
109 63 52 44
110 47 44 42
111 48 44 41
112 49 45 43
113 54 48 39
114 61 54 42
115 58 54 50
116 53 47 42
117 47 44 40
118 48 46 45
119 54 49 45
120 60 53 50
121 62 57 52
122 80 71 58
123 88 78 71
124 76 59 49
125 57 54 51
126 63 57 52
127 61 57 53
128 70 62 54
129 60 53 50
130 59 54 48
131 79 67 52
132 70 58 52
133 65 58 53
134 75 66 51
135 86 74 62
136 64 55 51
137 66 59 52
138 78 70 60
139 86 77 70
140 92 81 66
141 67 60 56
142 64 58 55
143 75 66 54
144 89 79 68
145 81 70 64
146 75 66 61
147 99 85 66
148 94 86 78
149 84 76 68
150 68 61 54
151 55 52 48
152 59 54 50
153 75 65 53
154 79 71 59
155 70 64 60
156 64 61 59
157 70 64 56
158 74 68 58
159 87 77 64
160 90 81 71
161 92 84 75
162 90 82 74
163 78 68 63
164 67 64 62
165 78 70 63
166 89 80 71
167 93 83 70
168 85 76 70
169 93 84 75
170 94 86 78
171 94 86 78
172 84 78 71
173 78 74 67
174 77 72 68
175 88 78 69
176 70 67 65
177 75 70 65
178 91 80 68
179 100 88 78
180 86 80 72
181 92 81 72
182 88 81 71
183 92 83 77
184 96 91 80
185 101 92 83
186 101 90 74
187 97 91 85
188 92 81 73
189 80 76 74
190 84 77 72
191 77 74 72
192 80 76 72
193 86 79 74
194 93 80 69
195 86 78 73
196 89 80 72
197 98 89 79
198 99 91 83
199 88 80 72
200 82 76 73
201 77 74 71
202 90 80 70
203 91 84 76
204 98 89 82
205 89 78 71
206 100 86 74
207 90 81 76
208 81 75 71
209 78 74 70
210 86 78 70
211 92 84 76
212 84 77 70
213 82 78 72
214 94 81 73
215 92 82 76
216 88 80 72
217 84 76 70
218 88 78 70
219 93 83 71
220 83 77 74
221 75 71 65
222 74 69 63
223 75 68 58
224 77 71 64
225 72 67 65
226 77 70 62
227 87 77 69
228 78 73 67
229 71 66 60
230 73 69 61
231 76 71 64
232 75 70 66
233 75 70 61
234 82 74 64
235 93 81 71
236 94 84 74
237 94 84 74
238 85 76 69
239 82 75 70
240 80 74 69
241 80 75 72
242 92 81 71
243 93 82 74
244 76 74 72
245 78 75 73
246 81 77 74
247 86 77 68
248 87 76 66
249 83 76 71
250 77 71 62
251 72 64 56
252 70 64 56
253 74 67 58
254 85 74 62
255 88 77 67
256 74 65 56
257 75 65 55
258 75 67 58
259 79 70 60
260 79 68 58
261 61 56 50
262 73 62 50
263 71 65 59
264 61 57 54
265 59 53 46
266 61 52 44
267 70 59 45
268 78 66 56
269 67 62 58
270 63 59 50
271 64 60 54
272 76 62 53
273 63 60 56
274 65 61 56
275 66 63 61
276 68 64 61
277 80 64 54
278 54 48 43
279 49 44 37
280 51 46 41
281 60 50 39
282 66 55 43
283 51 45 39
284 66 53 43
285 52 49 46
286 68 57 47
287 71 62 49
288 57 50 47
289 69 59 47
290 68 63 56
291 56 50 46
292 52 48 46
293 58 50 42
294 66 64 61
295 69 63 58
296 80 71 64
297 77 66 45
298 48 44 39
299 46 43 36
300 48 46 45
301 50 45 40
302 46 43 40
303 48 41 35
304 52 45 37
305 47 42 36
306 44 43 42
307 47 42 37
308 43 42 40
309 46 40 36
310 47 44 41
311 46 45 42
312 59 49 40
313 68 61 56
314 69 61 44
315 44 34 30
316 42 34 26
317 46 40 34
318 50 42 35
319 56 46 38
320 55 47 41
321 57 50 44
322 60 53 47
323 55 51 47
324 58 51 43
325 64 55 45
326 45 33 28
327 34 29 25
328 43 36 31
329 36 32 25
330 35 28 21
331 45 37 30
332 52 44 35
333 50 45 43
334 60 52 43
335 63 56 49
336 71 62 50
337 64 54 40
338 40 36 31
339 47 41 34
340 47 44 42
341 44 40 39
342 44 40 36
343 39 34 31
344 36 32 27
345 46 38 30
346 49 41 35
347 50 43 35
348 52 48 45
349 52 45 39
350 42 38 33
351 42 37 33
352 43 38 34
353 52 43 34
354 35 28 21
355 34 27 19
356 36 32 26
357 35 33 29
358 34 31 28
359 34 33 30
360 34 31 29
361 34 33 31
362 33 28 21
363 34 26 16
364 36 31 21
