T: 1.500000	C: 0.198963
T: 1.600000	C: 0.256895
T: 1.700000	C: 0.343762
T: 1.800000	C: 0.442693
T: 1.900000	C: 0.563848
T: 2.000000	C: 0.726952
T: 2.100000	C: 0.962209
T: 2.200000	C: 1.417147
T: 2.300000	C: 2.089400
T: 2.400000	C: 1.125720
T: 2.500000	C: 0.872100
T: 2.600000	C: 0.700337
T: 2.700000	C: 0.579469
T: 2.800000	C: 0.514766
T: 2.900000	C: 0.449124
