T: 2.000000	C: 0.730734
T: 2.050000	C: 0.819037
T: 2.100000	C: 0.996560
T: 2.150000	C: 1.126584
T: 2.200000	C: 1.383790
T: 2.250000	C: 2.020552
T: 2.300000	C: 2.023670
T: 2.350000	C: 1.402838
