t: 0.000000	: 0.000000	vx: 0.000000	vy: 401.503506
t: 0.500000	: 200.751753	vx: 286.703215	vy: 395.882456
t: 1.000000	: 398.692981	vx: 566.940086	vy: 390.449462
t: 1.500000	: 593.917712	vx: 840.878554	vy: 385.195806
t: 2.000000	: 786.515615	vx: 1108.678568	vy: 380.113304
t: 2.500000	: 976.572267	vx: 1370.492570	vy: 375.194265
t: 3.000000	: 1164.169399	vx: 1626.465943	vy: 370.431454
t: 3.500000	: 1349.385126	vx: 1876.737424	vy: 365.818056
t: 4.000000	: 1532.294155	vx: 2121.439495	vy: 361.347650
t: 4.500000	: 1712.967980	vx: 2360.698733	vy: 357.014177
t: 5.000000	: 1891.475069	vx: 2594.636147	vy: 352.811916
t: 5.500000	: 2067.881026	vx: 2823.367484	vy: 348.735459
t: 6.000000	: 2242.248756	vx: 3047.003514	vy: 344.779694
t: 6.500000	: 2414.638603	vx: 3265.650304	vy: 340.939779
t: 7.000000	: 2585.108492	vx: 3479.409459	vy: 337.211127
t: 7.500000	: 2753.714056	vx: 3688.378358	vy: 333.589389
t: 8.000000	: 2920.508750	vx: 3892.650377	vy: 330.070439
t: 8.500000	: 3085.543970	vx: 4092.315081	vy: 326.650358
t: 9.000000	: 3248.869149	vx: 4287.458426	vy: 323.325423
t: 9.500000	: 3410.531860	vx: 4478.162929	vy: 320.092090
t: 10.000000	: 3570.577905	vx: 4664.507841	vy: 316.946989
t: 10.500000	: 3729.051400	vx: 4846.569301	vy: 313.886910
t: 11.000000	: 3885.994854	vx: 5024.420481	vy: 310.908792
t: 11.500000	: 4041.449250	vx: 5198.131734	vy: 308.009716
t: 12.000000	: 4195.454108	vx: 5367.770712	vy: 305.186898
t: 12.500000	: 4348.047558	vx: 5533.402499	vy: 302.437677
t: 13.000000	: 4499.266396	vx: 5695.089722	vy: 299.759509
t: 13.500000	: 4649.146151	vx: 5852.892660	vy: 297.149963
t: 14.000000	: 4797.721132	vx: 6006.869351	vy: 294.606711
t: 14.500000	: 4945.024488	vx: 6157.075683	vy: 292.127523
t: 15.000000	: 5091.088249	vx: 6303.565492	vy: 289.710263
t: 15.500000	: 5235.943381	vx: 6446.390646	vy: 287.352882
t: 16.000000	: 5379.619822	vx: 6585.601127	vy: 285.053413
t: 16.500000	: 5522.146529	vx: 6721.245112	vy: 282.809968
t: 17.000000	: 5663.551513	vx: 6853.369042	vy: 280.620731
t: 17.500000	: 5803.861878	vx: 6982.017699	vy: 278.483956
t: 18.000000	: 5943.103856	vx: 7107.234266	vy: 276.397964
t: 18.500000	: 6081.302838	vx: 7229.060395	vy: 274.361136
t: 19.000000	: 6218.483406	vx: 7347.536264	vy: 272.371913
t: 19.500000	: 6354.669363	vx: 7462.700638	vy: 270.428789
t: 20.000000	: 6489.883757	vx: 7574.590920	vy: 268.530314
t: 20.500000	: 6624.148914	vx: 7683.243205	vy: 266.675084
t: 21.000000	: 6757.486456	vx: 7788.692330	vy: 264.861743
t: 21.500000	: 6889.917327	vx: 7890.971921	vy: 263.088979
t: 22.000000	: 7021.461817	vx: 7990.114437	vy: 261.355522
t: 22.500000	: 7152.139578	vx: 8086.151217	vy: 259.660141
t: 23.000000	: 7281.969648	vx: 8179.112518	vy: 258.001641
t: 23.500000	: 7410.970469	vx: 8269.027557	vy: 256.378864
t: 24.000000	: 7539.159901	vx: 8355.924549	vy: 254.790685
t: 24.500000	: 7666.555243	vx: 8439.830744	vy: 253.236008
t: 25.000000	: 7793.173248	vx: 8520.772462	vy: 251.713769
t: 25.500000	: 7919.030132	vx: 8598.775127	vy: 250.222931
t: 26.000000	: 8044.141598	vx: 8673.863302	vy: 248.762483
t: 26.500000	: 8168.522839	vx: 8746.060718	vy: 247.331437
t: 27.000000	: 8292.188558	vx: 8815.390308	vy: 245.928833
t: 27.500000	: 8415.152974	vx: 8881.874232	vy: 244.553728
t: 28.000000	: 8537.429839	vx: 8945.533913	vy: 243.205204
t: 28.500000	: 8659.032440	vx: 9006.390061	vy: 241.882358
t: 29.000000	: 8779.973620	vx: 9064.462699	vy: 240.584310
t: 29.500000	: 8900.265775	vx: 9119.771193	vy: 239.310195
t: 30.000000	: 9019.920872	vx: 9172.334278	vy: 238.059164
t: 30.500000	: 9138.950454	vx: 9222.170081	vy: 236.830386
t: 31.000000	: 9257.365647	vx: 9269.296149	vy: 235.623043
t: 31.500000	: 9375.177169	vx: 9313.729472	vy: 234.436330
t: 32.000000	: 9492.395334	vx: 9355.486507	vy: 233.269459
t: 32.500000	: 9609.030063	vx: 9394.583203	vy: 232.121651
t: 33.000000	: 9725.090889	vx: 9431.035023	vy: 230.992142
t: 33.500000	: 9840.586960	vx: 9464.856968	vy: 229.880179
t: 34.000000	: 9955.527050	vx: 9496.063598	vy: 228.785020
t: 34.500000	: 10069.919559	vx: 9524.669059	vy: 227.705933
t: 35.000000	: 10183.772526	vx: 9550.687099	vy: 226.642201
t: 35.500000	: 10297.093626	vx: 9574.131095	vy: 225.593112
t: 36.000000	: 10409.890182	vx: 9595.014074	vy: 224.557970
t: 36.500000	: 10522.169168	vx: 9613.348729	vy: 223.536087
t: 37.000000	: 10633.937211	vx: 9629.147451	vy: 222.526784
t: 37.500000	: 10745.200603	vx: 9642.422338	vy: 221.529397
t: 38.000000	: 10855.965302	vx: 9653.185227	vy: 220.543269
t: 38.500000	: 10966.236936	vx: 9661.447704	vy: 219.567755
t: 39.000000	: 11076.020814	vx: 9667.221135	vy: 218.602223
t: 39.500000	: 11185.321925	vx: 9670.516678	vy: 217.646050
t: 40.000000	: 11294.144950	vx: 9671.345305	vy: 216.698626
t: 40.500000	: 11402.494263	vx: 9669.717826	vy: 215.759355
t: 41.000000	: 11510.373941	vx: 9665.644901	vy: 214.827649
t: 41.500000	: 11617.787765	vx: 9659.137064	vy: 213.902938
t: 42.000000	: 11724.739235	vx: 9650.204740	vy: 212.984663
t: 42.500000	: 11831.231566	vx: 9638.858261	vy: 212.072279
t: 43.000000	: 11937.267705	vx: 9625.107889	vy: 211.165254
t: 43.500000	: 12042.850333	vx: 9608.963826	vy: 210.263074
t: 44.000000	: 12147.981870	vx: 9590.436237	vy: 209.365237
t: 44.500000	: 12252.664488	vx: 9569.535262	vy: 208.471258
t: 45.000000	: 12356.900117	vx: 9546.271034	vy: 207.580666
t: 45.500000	: 12460.690450	vx: 9520.653690	vy: 206.693010
t: 46.000000	: 12564.036955	vx: 9492.693391	vy: 205.807851
t: 46.500000	: 12666.940880	vx: 9462.400332	vy: 204.924769
t: 47.000000	: 12769.403265	vx: 9429.784754	vy: 204.043361
t: 47.500000	: 12871.424946	vx: 9394.856960	vy: 203.163241
t: 48.000000	: 12973.006566	vx: 9357.627324	vy: 202.284040
t: 48.500000	: 13074.148586	vx: 9318.106301	vy: 201.405405
t: 49.000000	: 13174.851289	vx: 9276.304440	vy: 200.527003
t: 49.500000	: 13275.114790	vx: 9232.232393	vy: 199.648517
t: 50.000000	: 13374.939049	vx: 9185.900920	vy: 198.769646
t: 50.500000	: 13474.323872	vx: 9137.320903	vy: 197.890110
t: 51.000000	: 13573.268926	vx: 9086.503347	vy: 197.009641
t: 51.500000	: 13671.773747	vx: 9033.459393	vy: 196.127993
t: 52.000000	: 13769.837744	vx: 8978.200318	vy: 195.244934
t: 52.500000	: 13867.460211	vx: 8920.737546	vy: 194.360249
t: 53.000000	: 13964.640335	vx: 8861.082646	vy: 193.473738
t: 53.500000	: 14061.377205	vx: 8799.247343	vy: 192.585220
t: 54.000000	: 14157.669814	vx: 8735.243515	vy: 191.694526
t: 54.500000	: 14253.517077	vx: 8669.083201	vy: 190.801505
t: 55.000000	: 14348.917829	vx: 8600.778598	vy: 189.906019
t: 55.500000	: 14443.870839	vx: 8530.342069	vy: 189.007946
t: 56.000000	: 14538.374812	vx: 8457.786137	vy: 188.107177
t: 56.500000	: 14632.428401	vx: 8383.123489	vy: 187.203618
t: 57.000000	: 14726.030209	vx: 8306.366979	vy: 186.297185
t: 57.500000	: 14819.178802	vx: 8227.529620	vy: 185.387811
t: 58.000000	: 14911.872707	vx: 8146.624592	vy: 184.475438
t: 58.500000	: 15004.110426	vx: 8063.665231	vy: 183.560022
t: 59.000000	: 15095.890437	vx: 7978.665037	vy: 182.641529
t: 59.500000	: 15187.211202	vx: 7891.637664	vy: 181.719936
t: 60.000000	: 15278.071170	vx: 7802.596924	vy: 180.795233
t: 60.500000	: 15368.468786	vx: 7711.556778	vy: 179.867415
t: 61.000000	: 15458.402494	vx: 7618.531338	vy: 178.936493
t: 61.500000	: 15547.870740	vx: 7523.534862	vy: 178.002481
t: 62.000000	: 15636.871981	vx: 7426.581747	vy: 177.065407
t: 62.500000	: 15725.404685	vx: 7327.686531	vy: 176.125303
t: 63.000000	: 15813.467336	vx: 7226.863885	vy: 175.182212
t: 63.500000	: 15901.058442	vx: 7124.128610	vy: 174.236183
t: 64.000000	: 15988.176534	vx: 7019.495632	vy: 173.287272
t: 64.500000	: 16074.820170	vx: 6912.979998	vy: 172.335543
t: 65.000000	: 16160.987942	vx: 6804.596869	vy: 171.381065
t: 65.500000	: 16246.678474	vx: 6694.361519	vy: 170.423912
t: 66.000000	: 16331.890430	vx: 6582.289327	vy: 169.464167
t: 66.500000	: 16416.622513	vx: 6468.395771	vy: 168.501914
t: 67.000000	: 16500.873470	vx: 6352.696426	vy: 167.537245
t: 67.500000	: 16584.642093	vx: 6235.206957	vy: 166.570256
t: 68.000000	: 16667.927221	vx: 6115.943112	vy: 165.601046
t: 68.500000	: 16750.727744	vx: 5994.920720	vy: 164.629717
t: 69.000000	: 16833.042603	vx: 5872.155680	vy: 163.656379
t: 69.500000	: 16914.870792	vx: 5747.663963	vy: 162.681139
t: 70.000000	: 16996.211362	vx: 5621.461601	vy: 161.704113
t: 70.500000	: 17077.063418	vx: 5493.564681	vy: 160.725416
t: 71.000000	: 17157.426126	vx: 5363.989344	vy: 159.745166
t: 71.500000	: 17237.298710	vx: 5232.751775	vy: 158.763485
t: 72.000000	: 17316.680452	vx: 5099.868200	vy: 157.780494
t: 72.500000	: 17395.570699	vx: 4965.354880	vy: 156.796318
t: 73.000000	: 17473.968858	vx: 4829.228104	vy: 155.811082
t: 73.500000	: 17551.874399	vx: 4691.504185	vy: 154.824915
t: 74.000000	: 17629.286856	vx: 4552.199456	vy: 153.837943
t: 74.500000	: 17706.205828	vx: 4411.330261	vy: 152.850295
t: 75.000000	: 17782.630975	vx: 4268.912954	vy: 151.862102
t: 75.500000	: 17858.562026	vx: 4124.963889	vy: 150.873493
t: 76.000000	: 17933.998773	vx: 3979.499421	vy: 149.884598
t: 76.500000	: 18008.941072	vx: 3832.535894	vy: 148.895548
t: 77.000000	: 18083.388846	vx: 3684.089641	vy: 147.906474
t: 77.500000	: 18157.342083	vx: 3534.176979	vy: 146.917504
t: 78.000000	: 18230.800835	vx: 3382.814200	vy: 145.928770
t: 78.500000	: 18303.765220	vx: 3230.017571	vy: 144.940400
t: 79.000000	: 18376.235420	vx: 3075.803328	vy: 143.952524
t: 79.500000	: 18448.211682	vx: 2920.187669	vy: 142.965269
t: 80.000000	: 18519.694316	vx: 2763.186754	vy: 141.978762
t: 80.500000	: 18590.683697	vx: 2604.816696	vy: 140.993130
t: 81.000000	: 18661.180262	vx: 2445.093560	vy: 140.008497
t: 81.500000	: 18731.184511	vx: 2284.033359	vy: 139.024988
t: 82.000000	: 18800.697005	vx: 2121.652049	vy: 138.042724
t: 82.500000	: 18869.718367	vx: 1957.965522	vy: 137.061828
t: 83.000000	: 18938.249281	vx: 1792.989610	vy: 136.082420
t: 83.500000	: 19006.290491	vx: 1626.740073	vy: 135.104616
t: 84.000000	: 19073.842799	vx: 1459.232602	vy: 134.128535
t: 84.500000	: 19140.907066	vx: 1290.482811	vy: 133.154291
t: 85.000000	: 19207.484212	vx: 1120.506235	vy: 132.181998
t: 85.500000	: 19273.575211	vx: 949.318329	vy: 131.211767
t: 86.000000	: 19339.181094	vx: 776.934463	vy: 130.243707
t: 86.500000	: 19404.302948	vx: 603.369917	vy: 129.277927
t: 87.000000	: 19468.941912	vx: 428.639882	vy: 128.314533
t: 87.500000	: 19533.099178	vx: 252.759457	vy: 127.353628
t: 88.000000	: 19596.775992	vx: 75.743641	vy: 126.395315
t: 88.500000	: 19659.973650	vx: -102.392663	vy: 125.439693
t: 89.000000	: 19722.693496	vx: -281.634653	vy: 124.486860
t: 89.500000	: 19784.936926	vx: -461.967631	vy: 123.536912
t: 90.000000	: 19846.705383	vx: -643.377004	vy: 122.589943
t: 90.500000	: 19908.000354	vx: -825.848288	vy: 121.646044
t: 91.000000	: 19968.823376	vx: -1009.367108	vy: 120.705304
