t: 3.200000	theta: -0.239011	omega: 0.454828	energy: 0.382306
t: 3.240000	theta: -0.220817	omega: 0.548615	energy: 0.388689
t: 3.280000	theta: -0.198873	omega: 0.635264	energy: 0.395136
t: 3.320000	theta: -0.173462	omega: 0.713302	energy: 0.401617
t: 3.360000	theta: -0.144930	omega: 0.781368	energy: 0.408116
t: 3.400000	theta: -0.113675	omega: 0.838239	energy: 0.414637
t: 3.440000	theta: -0.080146	omega: 0.882845	energy: 0.421198
t: 3.480000	theta: -0.044832	omega: 0.914295	energy: 0.427824
t: 3.520000	theta: -0.008260	omega: 0.931887	energy: 0.434541
t: 3.560000	theta: 0.029015	omega: 0.935128	energy: 0.441361
t: 3.600000	theta: 0.066420	omega: 0.923742	energy: 0.448281
t: 3.640000	theta: 0.103370	omega: 0.897679	energy: 0.455279
t: 3.680000	theta: 0.139277	omega: 0.857117	energy: 0.462319
t: 3.720000	theta: 0.173562	omega: 0.802464	energy: 0.469361
t: 3.760000	theta: 0.205660	omega: 0.734359	energy: 0.476374
t: 3.800000	theta: 0.235035	omega: 0.653658	energy: 0.483348
t: 3.840000	theta: 0.261181	omega: 0.561430	energy: 0.490301
t: 3.880000	theta: 0.283638	omega: 0.458943	energy: 0.497286
t: 3.920000	theta: 0.301996	omega: 0.347643	energy: 0.504382
t: 3.960000	theta: 0.315902	omega: 0.229140	energy: 0.511684
t: 4.000000	theta: 0.325067	omega: 0.105180	energy: 0.519288
t: 4.040000	theta: 0.329274	omega: -0.022376	energy: 0.527271
t: 4.080000	theta: 0.328379	omega: -0.151584	energy: 0.535674
t: 4.120000	theta: 0.322316	omega: -0.280440	energy: 0.544496
t: 4.160000	theta: 0.311098	omega: -0.406917	energy: 0.553691
t: 4.200000	theta: 0.294822	omega: -0.528992	energy: 0.563179
t: 4.240000	theta: 0.273662	omega: -0.644680	energy: 0.572859
t: 4.280000	theta: 0.247875	omega: -0.752065	energy: 0.582634
t: 4.320000	theta: 0.217792	omega: -0.849331	energy: 0.592425
t: 4.360000	theta: 0.183819	omega: -0.934793	energy: 0.602190
t: 4.400000	theta: 0.146427	omega: -1.006923	energy: 0.611927
t: 4.440000	theta: 0.106150	omega: -1.064381	energy: 0.621671
t: 4.480000	theta: 0.063575	omega: -1.106035	energy: 0.631475
t: 4.520000	theta: 0.019334	omega: -1.130982	energy: 0.641393
t: 4.560000	theta: -0.025905	omega: -1.138568	energy: 0.651460
t: 4.600000	theta: -0.071448	omega: -1.128403	energy: 0.661675
t: 4.640000	theta: -0.116584	omega: -1.100367	energy: 0.671996
t: 4.680000	theta: -0.160599	omega: -1.054619	energy: 0.682349
t: 4.720000	theta: -0.202784	omega: -0.991600	energy: 0.692645
t: 4.760000	theta: -0.242448	omega: -0.912028	energy: 0.702808
t: 4.800000	theta: -0.278929	omega: -0.816891	energy: 0.712803
t: 4.840000	theta: -0.311604	omega: -0.707440	energy: 0.722657
t: 4.880000	theta: -0.339902	omega: -0.585166	energy: 0.732466
t: 4.920000	theta: -0.363309	omega: -0.451788	energy: 0.742393
t: 4.960000	theta: -0.381380	omega: -0.309226	energy: 0.752641
t: 5.000000	theta: -0.393749	omega: -0.159572	energy: 0.763421
t: 5.040000	theta: -0.400132	omega: -0.005065	energy: 0.774909
t: 5.080000	theta: -0.400335	omega: 0.151947	energy: 0.787215
t: 5.120000	theta: -0.394257	omega: 0.309038	energy: 0.800353
t: 5.160000	theta: -0.381895	omega: 0.463744	energy: 0.814243
t: 5.200000	theta: -0.363346	omega: 0.613600	energy: 0.828718
t: 5.240000	theta: -0.338802	omega: 0.756177	energy: 0.843565
t: 5.280000	theta: -0.308555	omega: 0.889123	energy: 0.858561
t: 5.320000	theta: -0.272990	omega: 1.010200	energy: 0.873524
t: 5.360000	theta: -0.232582	omega: 1.117321	energy: 0.888341
t: 5.400000	theta: -0.187889	omega: 1.208586	energy: 0.902988
t: 5.440000	theta: -0.139545	omega: 1.282313	energy: 0.917523
t: 5.480000	theta: -0.088253	omega: 1.337071	energy: 0.932057
t: 5.520000	theta: -0.034770	omega: 1.371701	energy: 0.946712
t: 5.560000	theta: 0.020098	omega: 1.385345	energy: 0.961572
t: 5.600000	theta: 0.075512	omega: 1.377459	energy: 0.976651
t: 5.640000	theta: 0.130610	omega: 1.347828	energy: 0.991875
t: 5.680000	theta: 0.184523	omega: 1.296576	energy: 1.007091
t: 5.720000	theta: 0.236386	omega: 1.224169	energy: 1.022105
t: 5.760000	theta: 0.285353	omega: 1.131411	energy: 1.036740
t: 5.800000	theta: 0.330610	omega: 1.019439	energy: 1.050892
t: 5.840000	theta: 0.371387	omega: 0.889708	energy: 1.064588
t: 5.880000	theta: 0.406975	omega: 0.743975	energy: 1.078008
t: 5.920000	theta: 0.436734	omega: 0.584278	energy: 1.091479
t: 5.960000	theta: 0.460106	omega: 0.412904	energy: 1.105429
t: 6.000000	theta: 0.476622	omega: 0.232358	energy: 1.120321
t: 6.040000	theta: 0.485916	omega: 0.045332	energy: 1.136559
t: 6.080000	theta: 0.487729	omega: -0.145342	energy: 1.154416
t: 6.120000	theta: 0.481916	omega: -0.336727	energy: 1.173966
t: 6.160000	theta: 0.468447	omega: -0.525830	energy: 1.195073
t: 6.200000	theta: 0.447413	omega: -0.709649	energy: 1.217407
t: 6.240000	theta: 0.419027	omega: -0.885214	energy: 1.240513
t: 6.280000	theta: 0.383619	omega: -1.049640	energy: 1.263900
t: 6.320000	theta: 0.341633	omega: -1.200172	energy: 1.287139
t: 6.360000	theta: 0.293626	omega: -1.334229	energy: 1.309946
t: 6.400000	theta: 0.240257	omega: -1.449448	energy: 1.332224
t: 6.440000	theta: 0.182279	omega: -1.543725	energy: 1.354065
t: 6.480000	theta: 0.120530	omega: -1.615251	energy: 1.375690
t: 6.520000	theta: 0.055920	omega: -1.662547	energy: 1.397366
t: 6.560000	theta: -0.010582	omega: -1.684491	energy: 1.419303
t: 6.600000	theta: -0.077961	omega: -1.680338	energy: 1.441566
t: 6.640000	theta: -0.145175	omega: -1.649746	energy: 1.464026
t: 6.680000	theta: -0.211165	omega: -1.592780	energy: 1.486379
t: 6.720000	theta: -0.274876	omega: -1.509919	energy: 1.508205
t: 6.760000	theta: -0.335273	omega: -1.402057	energy: 1.529097
t: 6.800000	theta: -0.391355	omega: -1.270496	energy: 1.548784
t: 6.840000	theta: -0.442175	omega: -1.116929	energy: 1.567259
t: 6.880000	theta: -0.486852	omega: -0.943419	energy: 1.584843
t: 6.920000	theta: -0.524589	omega: -0.752379	energy: 1.602187
t: 6.960000	theta: -0.554684	omega: -0.546530	energy: 1.620190
t: 7.000000	theta: -0.576545	omega: -0.328872	energy: 1.639855
t: 7.040000	theta: -0.589700	omega: -0.102636	energy: 1.662102
t: 7.080000	theta: -0.593805	omega: 0.128762	energy: 1.687590
t: 7.120000	theta: -0.588655	omega: 0.361772	energy: 1.716577
t: 7.160000	theta: -0.574184	omega: 0.592760	energy: 1.748855
t: 7.200000	theta: -0.550474	omega: 0.818070	energy: 1.783783
t: 7.240000	theta: -0.517751	omega: 1.034075	energy: 1.820408
t: 7.280000	theta: -0.476388	omega: 1.237241	energy: 1.857656
t: 7.320000	theta: -0.426898	omega: 1.424175	energy: 1.894542
t: 7.360000	theta: -0.369931	omega: 1.591690	energy: 1.930363
t: 7.400000	theta: -0.306264	omega: 1.736851	energy: 1.964817
t: 7.440000	theta: -0.236789	omega: 1.857029	energy: 1.998016
t: 7.480000	theta: -0.162508	omega: 1.949945	energy: 2.030394
t: 7.520000	theta: -0.084511	omega: 2.013714	energy: 2.062532
t: 7.560000	theta: -0.003962	omega: 2.046875	energy: 2.094927
t: 7.600000	theta: 0.077913	omega: 2.048430	energy: 2.127793
t: 7.640000	theta: 0.159850	omega: 2.017857	energy: 2.160940
t: 7.680000	theta: 0.240565	omega: 1.955132	energy: 2.193763
t: 7.720000	theta: 0.318770	omega: 1.860734	energy: 2.225377
t: 7.760000	theta: 0.393199	omega: 1.735649	energy: 2.254859
t: 7.800000	theta: 0.462625	omega: 1.581358	energy: 2.281534
t: 7.840000	theta: 0.525879	omega: 1.399824	energy: 2.305252
t: 7.880000	theta: 0.581872	omega: 1.193468	energy: 2.326565
t: 7.920000	theta: 0.629611	omega: 0.965142	energy: 2.346752
t: 7.960000	theta: 0.668217	omega: 0.718082	energy: 2.367680
t: 8.000000	theta: 0.696940	omega: 0.455874	energy: 2.391506
t: 8.040000	theta: 0.715175	omega: 0.182395	energy: 2.420295
t: 8.080000	theta: 0.722471	omega: -0.098240	energy: 2.455617
t: 8.120000	theta: 0.718541	omega: -0.381737	energy: 2.498219
t: 8.160000	theta: 0.703272	omega: -0.663693	energy: 2.547859
t: 8.200000	theta: 0.676724	omega: -0.939657	energy: 2.603322
t: 8.240000	theta: 0.639138	omega: -1.205203	energy: 2.662650
t: 8.280000	theta: 0.590930	omega: -1.456001	energy: 2.723519
t: 8.320000	theta: 0.532690	omega: -1.687882	energy: 2.783704
t: 8.360000	theta: 0.465174	omega: -1.896909	energy: 2.841510
t: 8.400000	theta: 0.389298	omega: -2.079444	energy: 2.896069
t: 8.440000	theta: 0.306120	omega: -2.232204	energy: 2.947435
