t: 0.000000	: 0.000000	vx: 0.000000	vy: 536.231110
t: 0.500000	: 268.115555	vx: 224.975663	vy: 528.723875
t: 1.000000	: 532.477492	vx: 444.349167	vy: 521.458602
t: 1.500000	: 793.206793	vx: 658.255728	vy: 514.424180
t: 2.000000	: 1050.418883	vx: 866.824211	vy: 507.610162
t: 2.500000	: 1304.223964	vx: 1070.177515	vy: 501.006715
t: 3.000000	: 1554.727322	vx: 1268.432916	vy: 494.604574
t: 3.500000	: 1802.029609	vx: 1461.702401	vy: 488.395003
t: 4.000000	: 2046.227111	vx: 1650.092961	vy: 482.369755
t: 4.500000	: 2287.411988	vx: 1833.706878	vy: 476.521039
t: 5.000000	: 2525.672508	vx: 2012.641983	vy: 470.841489
t: 5.500000	: 2761.093253	vx: 2186.991900	vy: 465.324133
t: 6.000000	: 2993.755319	vx: 2356.846271	vy: 459.962366
t: 6.500000	: 3223.736502	vx: 2522.290969	vy: 454.749930
t: 7.000000	: 3451.111467	vx: 2683.408297	vy: 449.680884
t: 7.500000	: 3675.951909	vx: 2840.277169	vy: 444.749590
t: 8.000000	: 3898.326704	vx: 2992.973283	vy: 439.950690
t: 8.500000	: 4118.302048	vx: 3141.569289	vy: 435.279087
t: 9.000000	: 4335.941592	vx: 3286.134933	vy: 430.729933
t: 9.500000	: 4551.306558	vx: 3426.737204	vy: 426.298609
t: 10.000000	: 4764.455863	vx: 3563.440467	vy: 421.980714
t: 10.500000	: 4975.446220	vx: 3696.306589	vy: 417.772051
t: 11.000000	: 5184.332245	vx: 3825.395059	vy: 413.668612
t: 11.500000	: 5391.166551	vx: 3950.763097	vy: 409.666571
t: 12.000000	: 5595.999837	vx: 4072.465761	vy: 405.762272
t: 12.500000	: 5798.880973	vx: 4190.556046	vy: 401.952216
t: 13.000000	: 5999.857081	vx: 4305.084978	vy: 398.233056
t: 13.500000	: 6198.973609	vx: 4416.101703	vy: 394.601586
t: 14.000000	: 6396.274401	vx: 4523.653572	vy: 391.054734
t: 14.500000	: 6591.801768	vx: 4627.786217	vy: 387.589554
t: 15.000000	: 6785.596546	vx: 4728.543631	vy: 384.203220
t: 15.500000	: 6977.698156	vx: 4825.968237	vy: 380.893017
t: 16.000000	: 7168.144664	vx: 4920.100956	vy: 377.656338
t: 16.500000	: 7356.972833	vx: 5010.981272	vy: 374.490674
t: 17.000000	: 7544.218170	vx: 5098.647294	vy: 371.393615
t: 17.500000	: 7729.914978	vx: 5183.135813	vy: 368.362839
t: 18.000000	: 7914.096397	vx: 5264.482359	vy: 365.396109
t: 18.500000	: 8096.794451	vx: 5342.721254	vy: 362.491271
t: 19.000000	: 8278.040087	vx: 5417.885663	vy: 359.646246
t: 19.500000	: 8457.863210	vx: 5490.007641	vy: 356.859030
t: 20.000000	: 8636.292725	vx: 5559.118183	vy: 354.127685
t: 20.500000	: 8813.356568	vx: 5625.247263	vy: 351.450343
t: 21.000000	: 8989.081739	vx: 5688.423882	vy: 348.825195
t: 21.500000	: 9163.494336	vx: 5748.676104	vy: 346.250493
t: 22.000000	: 9336.619583	vx: 5806.031101	vy: 343.724546
t: 22.500000	: 9508.481856	vx: 5860.515186	vy: 341.245717
t: 23.000000	: 9679.104714	vx: 5912.153848	vy: 338.812418
t: 23.500000	: 9848.510923	vx: 5960.971795	vy: 336.423114
t: 24.000000	: 10016.722481	vx: 6006.992977	vy: 334.076315
t: 24.500000	: 10183.760638	vx: 6050.240628	vy: 331.770574
t: 25.000000	: 10349.645925	vx: 6090.737290	vy: 329.504490
t: 25.500000	: 10514.398170	vx: 6128.504849	vy: 327.276701
t: 26.000000	: 10678.036520	vx: 6163.564560	vy: 325.085884
t: 26.500000	: 10840.579463	vx: 6195.937079	vy: 322.930756
t: 27.000000	: 11002.044841	vx: 6225.642488	vy: 320.810068
t: 27.500000	: 11162.449875	vx: 6252.700320	vy: 318.722606
t: 28.000000	: 11321.811178	vx: 6277.129592	vy: 316.667191
