t: 0.000000	: 0.000000	vx: 0.000000	vy: 536.231110
t: 0.500000	: 268.115555	vx: 224.975663	vy: 528.723875
t: 1.000000	: 532.477492	vx: 444.349167	vy: 521.546814
t: 1.500000	: 793.250899	vx: 658.292328	vy: 514.678154
t: 2.000000	: 1050.589977	vx: 866.965403	vy: 508.098002
t: 2.500000	: 1304.638977	vx: 1070.518096	vy: 501.788143
t: 3.000000	: 1555.533049	vx: 1269.090452	vy: 495.731868
t: 3.500000	: 1803.398983	vx: 1462.813662	vy: 489.913814
t: 4.000000	: 2048.355890	vx: 1651.810780	vy: 484.319835
t: 4.500000	: 2290.515807	vx: 1836.197373	vy: 478.936876
t: 5.000000	: 2529.984245	vx: 2016.082107	vy: 473.752871
t: 5.500000	: 2766.860681	vx: 2191.567271	vy: 468.756652
t: 6.000000	: 3001.239007	vx: 2362.749261	vy: 463.937859
t: 6.500000	: 3233.207936	vx: 2529.719009	vy: 459.286873
t: 7.000000	: 3462.851373	vx: 2692.562382	vy: 454.794747
t: 7.500000	: 3690.248746	vx: 2851.360541	vy: 450.453146
t: 8.000000	: 3915.475319	vx: 3006.190267	vy: 446.254299
t: 8.500000	: 4138.602469	vx: 3157.124266	vy: 442.190945
t: 9.000000	: 4359.697941	vx: 3304.231440	vy: 438.256295
t: 9.500000	: 4578.826089	vx: 3447.577142	vy: 434.443993
t: 10.000000	: 4796.048085	vx: 3587.223410	vy: 430.748077
t: 10.500000	: 5011.422124	vx: 3723.229174	vy: 427.162956
t: 11.000000	: 5225.003602	vx: 3855.650461	vy: 423.683372
t: 11.500000	: 5436.845288	vx: 3984.540571	vy: 420.304382
t: 12.000000	: 5646.997479	vx: 4109.950247	vy: 417.021328
t: 12.500000	: 5855.508143	vx: 4231.927831	vy: 413.829821
t: 13.000000	: 6062.423054	vx: 4350.519409	vy: 410.725719
t: 13.500000	: 6267.785913	vx: 4465.768940	vy: 407.705107
t: 14.000000	: 6471.638467	vx: 4577.718389	vy: 404.764285
t: 14.500000	: 6674.020609	vx: 4686.407835	vy: 401.899751
t: 15.000000	: 6874.970485	vx: 4791.875580	vy: 399.108186
t: 15.500000	: 7074.524578	vx: 4894.158255	vy: 396.386443
t: 16.000000	: 7272.717800	vx: 4993.290906	vy: 393.731537
t: 16.500000	: 7469.583568	vx: 5089.307090	vy: 391.140628
t: 17.000000	: 7665.153882	vx: 5182.238949	vy: 388.611020
t: 17.500000	: 7859.459392	vx: 5272.117294	vy: 386.140145
t: 18.000000	: 8052.529464	vx: 5358.971672	vy: 383.725557
t: 18.500000	: 8244.392243	vx: 5442.830438	vy: 381.364926
t: 19.000000	: 8435.074706	vx: 5523.720815	vy: 379.056027
t: 19.500000	: 8624.602719	vx: 5601.668957	vy: 376.796736
t: 20.000000	: 8813.001087	vx: 5676.700005	vy: 374.585025
t: 20.500000	: 9000.293600	vx: 5748.838137	vy: 372.418953
t: 21.000000	: 9186.503076	vx: 5818.106624	vy: 370.296661
t: 21.500000	: 9371.651407	vx: 5884.527872	vy: 368.216371
t: 22.000000	: 9555.759592	vx: 5948.123473	vy: 366.176376
t: 22.500000	: 9738.847780	vx: 6008.914241	vy: 364.175041
t: 23.000000	: 9920.935301	vx: 6066.920258	vy: 362.210795
t: 23.500000	: 10102.040698	vx: 6122.160908	vy: 360.282128
t: 24.000000	: 10282.181762	vx: 6174.654917	vy: 358.387588
t: 24.500000	: 10461.375556	vx: 6224.420388	vy: 356.525781
t: 25.000000	: 10639.638446	vx: 6271.474829	vy: 354.695361
t: 25.500000	: 10816.986127	vx: 6315.835190	vy: 352.895032
t: 26.000000	: 10993.433643	vx: 6357.517892	vy: 351.123547
t: 26.500000	: 11168.995417	vx: 6396.538852	vy: 349.379700
t: 27.000000	: 11343.685267	vx: 6432.913515	vy: 347.662328
t: 27.500000	: 11517.516431	vx: 6466.656879	vy: 345.970306
t: 28.000000	: 11690.501583	vx: 6497.783519	vy: 344.302547
t: 28.500000	: 11862.652857	vx: 6526.307612	vy: 342.658002
t: 29.000000	: 12033.981858	vx: 6552.242961	vy: 341.035652
t: 29.500000	: 12204.499684	vx: 6575.603016	vy: 339.434512
t: 30.000000	: 12374.216940	vx: 6596.400898	vy: 337.853627
t: 30.500000	: 12543.143754	vx: 6614.649415	vy: 336.292072
t: 31.000000	: 12711.289790	vx: 6630.361088	vy: 334.748948
t: 31.500000	: 12878.664264	vx: 6643.548166	vy: 333.223384
