t: 45.500000	: 19000.194887	vx: 2721.014949	vy: 306.113311
t: 46.000000	: 19153.251542	vx: 2638.748606	vy: 304.285510
t: 46.500000	: 19305.394297	vx: 2554.520975	vy: 302.458569
t: 47.000000	: 19456.623581	vx: 2468.346550	vy: 300.632149
t: 47.500000	: 19606.939656	vx: 2380.239995	vy: 298.805928
t: 48.000000	: 19756.342620	vx: 2290.216153	vy: 296.979598
t: 48.500000	: 19904.832419	vx: 2198.290046	vy: 295.152863
t: 49.000000	: 20052.408850	vx: 2104.476880	vy: 293.325443
t: 49.500000	: 20199.071572	vx: 2008.792052	vy: 291.497071
t: 50.000000	: 20344.820107	vx: 1911.251152	vy: 289.667494
t: 50.500000	: 20489.653854	vx: 1811.869966	vy: 287.836474
t: 51.000000	: 20633.572091	vx: 1710.664480	vy: 286.003783
t: 51.500000	: 20776.573982	vx: 1607.650881	vy: 284.169210
t: 52.000000	: 20918.658587	vx: 1502.845564	vy: 282.332555
t: 52.500000	: 21059.824865	vx: 1396.265129	vy: 280.493634
t: 53.000000	: 21200.071682	vx: 1287.926386	vy: 278.652271
t: 53.500000	: 21339.397818	vx: 1177.846357	vy: 276.808309
t: 54.000000	: 21477.801972	vx: 1066.042275	vy: 274.961600
t: 54.500000	: 21615.282772	vx: 952.531587	vy: 273.112010
t: 55.000000	: 21751.838777	vx: 837.331953	vy: 271.259417
t: 55.500000	: 21887.468485	vx: 720.461250	vy: 269.403713
t: 56.000000	: 22022.170342	vx: 601.937567	vy: 267.544802
t: 56.500000	: 22155.942743	vx: 481.779209	vy: 265.682600
t: 57.000000	: 22288.784044	vx: 360.004693	vy: 263.817036
t: 57.500000	: 22420.692562	vx: 236.632751	vy: 261.948050
t: 58.000000	: 22551.666587	vx: 111.682326	vy: 260.075596
t: 58.500000	: 22681.704384	vx: -14.827430	vy: 258.199638
t: 59.000000	: 22810.804203	vx: -142.877156	vy: 256.320153
t: 59.500000	: 22938.964280	vx: -272.447282	vy: 254.437131
t: 60.000000	: 23066.182845	vx: -403.518040	vy: 252.550571
t: 60.500000	: 23192.458131	vx: -536.069454	vy: 250.660486
t: 61.000000	: 23317.788374	vx: -670.081356	vy: 248.766900
t: 61.500000	: 23442.171824	vx: -805.533380	vy: 246.869847
t: 62.000000	: 23565.606747	vx: -942.404970	vy: 244.969372
t: 62.500000	: 23688.091433	vx: -1080.675384	vy: 243.065534
t: 63.000000	: 23809.624200	vx: -1220.323696	vy: 241.158399
t: 63.500000	: 23930.203400	vx: -1361.328803	vy: 239.248048
t: 64.000000	: 24049.827424	vx: -1503.669429	vy: 237.334568
t: 64.500000	: 24168.494707	vx: -1647.324130	vy: 235.418059
t: 65.000000	: 24286.203737	vx: -1792.271300	vy: 233.498631
t: 65.500000	: 24402.953052	vx: -1938.489175	vy: 231.576404
t: 66.000000	: 24518.741254	vx: -2085.955844	vy: 229.651507
t: 66.500000	: 24633.567008	vx: -2234.649249	vy: 227.724080
t: 67.000000	: 24747.429048	vx: -2384.547194	vy: 225.794271
t: 67.500000	: 24860.326183	vx: -2535.627355	vy: 223.862238
t: 68.000000	: 24972.257302	vx: -2687.867281	vy: 221.928147
t: 68.500000	: 25083.221376	vx: -2841.244409	vy: 219.992175
t: 69.000000	: 25193.217463	vx: -2995.736064	vy: 218.054505
t: 69.500000	: 25302.244716	vx: -3151.319471	vy: 216.115329
t: 70.000000	: 25410.302380	vx: -3307.971763	vy: 214.174848
t: 70.500000	: 25517.389804	vx: -3465.669986	vy: 212.233268
t: 71.000000	: 25623.506438	vx: -3624.391113	vy: 210.290807
t: 71.500000	: 25728.651841	vx: -3784.112048	vy: 208.347685
t: 72.000000	: 25832.825684	vx: -3944.809635	vy: 206.404132
t: 72.500000	: 25936.027750	vx: -4106.460668	vy: 204.460385
t: 73.000000	: 26038.257942	vx: -4269.041903	vy: 202.516684
t: 73.500000	: 26139.516284	vx: -4432.530061	vy: 200.573279
t: 74.000000	: 26239.802924	vx: -4596.901843	vy: 198.630423
t: 74.500000	: 26339.118135	vx: -4762.133934	vy: 196.688374
t: 75.000000	: 26437.462322	vx: -4928.203018	vy: 194.747397
t: 75.500000	: 26534.836021	vx: -5095.085786	vy: 192.807760
t: 76.000000	: 26631.239901	vx: -5262.758942	vy: 190.869737
t: 76.500000	: 26726.674769	vx: -5431.199217	vy: 188.933604
t: 77.000000	: 26821.141571	vx: -5600.383377	vy: 186.999641
t: 77.500000	: 26914.641392	vx: -5770.288234	vy: 185.068133
t: 78.000000	: 27007.175458	vx: -5940.890654	vy: 183.139365
t: 78.500000	: 27098.745140	vx: -6112.167567	vy: 181.213628
t: 79.000000	: 27189.351955	vx: -6284.095978	vy: 179.291213
t: 79.500000	: 27278.997561	vx: -6456.652977	vy: 177.372414
t: 80.000000	: 27367.683768	vx: -6629.815748	vy: 175.457524
t: 80.500000	: 27455.412530	vx: -6803.561575	vy: 173.546841
t: 81.000000	: 27542.185951	vx: -6977.867859	vy: 171.640662
t: 81.500000	: 27628.006282	vx: -7152.712122	vy: 169.739282
t: 82.000000	: 27712.875923	vx: -7328.072018	vy: 167.843001
t: 82.500000	: 27796.797424	vx: -7503.925340	vy: 165.952116
t: 83.000000	: 27879.773481	vx: -7680.250034	vy: 164.066922
t: 83.500000	: 27961.806943	vx: -7857.024204	vy: 162.187717
t: 84.000000	: 28042.900801	vx: -8034.226121	vy: 160.314794
t: 84.500000	: 28123.058198	vx: -8211.834232	vy: 158.448446
t: 85.000000	: 28202.282421	vx: -8389.827171	vy: 156.588965
t: 85.500000	: 28280.576903	vx: -8568.183763	vy: 154.736639
