t: 0.000000	: 0.000000	vx: 0.000000	vy: 401.503506
t: 0.500000	: 200.751753	vx: 286.703215	vy: 395.882456
t: 1.000000	: 398.692981	vx: 566.940086	vy: 390.533442
t: 1.500000	: 593.959702	vx: 840.938002	vy: 385.437441
t: 2.000000	: 786.678423	vx: 1108.908067	vy: 380.577180
t: 2.500000	: 976.967013	vx: 1371.046604	vy: 375.936942
t: 3.000000	: 1164.935484	vx: 1627.536481	vy: 371.502386
t: 3.500000	: 1350.686677	vx: 1878.548301	vy: 367.260401
t: 4.000000	: 1534.316877	vx: 2124.241452	vy: 363.198973
t: 4.500000	: 1715.916364	vx: 2364.765054	vy: 359.307075
t: 5.000000	: 1895.569901	vx: 2600.258799	vy: 355.574562
t: 5.500000	: 2073.357183	vx: 2830.853714	vy: 351.992085
t: 6.000000	: 2249.353225	vx: 3056.672844	vy: 348.551013
t: 6.500000	: 2423.628732	vx: 3277.831869	vy: 345.243365
t: 7.000000	: 2596.250414	vx: 3494.439658	vy: 342.061748
t: 7.500000	: 2767.281288	vx: 3706.598781	vy: 338.999303
t: 8.000000	: 2936.780940	vx: 3914.405965	vy: 336.049660
t: 8.500000	: 3104.805770	vx: 4117.952512	vy: 333.206889
t: 9.000000	: 3271.409214	vx: 4317.324682	vy: 330.465467
t: 9.500000	: 3436.641948	vx: 4512.604040	vy: 327.820238
t: 10.000000	: 3600.552067	vx: 4703.867773	vy: 325.266388
t: 10.500000	: 3763.185261	vx: 4891.188987	vy: 322.799413
t: 11.000000	: 3924.584967	vx: 5074.636967	vy: 320.415096
t: 11.500000	: 4084.792515	vx: 5254.277431	vy: 318.109480
t: 12.000000	: 4243.847255	vx: 5430.172754	vy: 315.878853
t: 12.500000	: 4401.786681	vx: 5602.382175	vy: 313.719725
t: 13.000000	: 4558.646544	vx: 5770.961992	vy: 311.628815
t: 13.500000	: 4714.460951	vx: 5935.965742	vy: 309.603031
t: 14.000000	: 4869.262467	vx: 6097.444363	vy: 307.639458
t: 14.500000	: 5023.082196	vx: 6255.446350	vy: 305.735345
t: 15.000000	: 5175.949868	vx: 6410.017896	vy: 303.888096
t: 15.500000	: 5327.893916	vx: 6561.203021	vy: 302.095253
t: 16.000000	: 5478.941543	vx: 6709.043703	vy: 300.354491
t: 16.500000	: 5629.118789	vx: 6853.579983	vy: 298.663609
