t: 0.000000	: 0.000000	vx: 0.000000	vy: 573.406431
t: 0.500000	: 286.703216	vx: 200.751753	vy: 565.378741
t: 1.000000	: 569.392586	vx: 396.240481	vy: 557.690179
t: 1.500000	: 848.237676	vx: 586.618266	vy: 550.318938
t: 2.000000	: 1123.397144	vx: 772.027242	vy: 543.245042
t: 2.500000	: 1395.019666	vx: 952.600440	vy: 536.450160
t: 3.000000	: 1663.244746	vx: 1128.462536	vy: 529.917432
t: 3.500000	: 1928.203462	vx: 1299.730537	vy: 523.631325
t: 4.000000	: 2190.019124	vx: 1466.514384	vy: 517.577503
t: 4.500000	: 2448.807876	vx: 1628.917505	vy: 511.742710
t: 5.000000	: 2704.679231	vx: 1787.037310	vy: 506.114670
t: 5.500000	: 2957.736566	vx: 1940.965647	vy: 500.681997
t: 6.000000	: 3208.077564	vx: 2090.789205	vy: 495.434113
t: 6.500000	: 3455.794621	vx: 2236.589893	vy: 490.361176
t: 7.000000	: 3700.975209	vx: 2378.445172	vy: 485.454017
t: 7.500000	: 3943.702218	vx: 2516.428372	vy: 480.704081
t: 8.000000	: 4184.054258	vx: 2650.608972	vy: 476.103375
t: 8.500000	: 4422.105946	vx: 2781.052861	vy: 471.644424
t: 9.000000	: 4657.928158	vx: 2907.822576	vy: 467.320227
t: 9.500000	: 4891.588271	vx: 3030.977524	vy: 463.124216
t: 10.000000	: 5123.150379	vx: 3150.574178	vy: 459.050229
t: 10.500000	: 5352.675494	vx: 3266.666271	vy: 455.092472
t: 11.000000	: 5580.221730	vx: 3379.304961	vy: 451.245493
t: 11.500000	: 5805.844476	vx: 3488.538997	vy: 447.504157
t: 12.000000	: 6029.596555	vx: 3594.414858	vy: 443.863623
t: 12.500000	: 6251.528367	vx: 3696.976899	vy: 440.319321
t: 13.000000	: 6471.688027	vx: 3796.267470	vy: 436.866932
t: 13.500000	: 6690.121493	vx: 3892.327039	vy: 433.502371
t: 14.000000	: 6906.872678	vx: 3985.194298	vy: 430.221773
t: 14.500000	: 7121.983565	vx: 4074.906270	vy: 427.021475
t: 15.000000	: 7335.494302	vx: 4161.498399	vy: 423.898000
t: 15.500000	: 7547.443302	vx: 4245.004645	vy: 420.848051
t: 16.000000	: 7757.867328	vx: 4325.457563	vy: 417.868494
t: 16.500000	: 7966.801575	vx: 4402.888383	vy: 414.956347
t: 17.000000	: 8174.279748	vx: 4477.327084	vy: 412.108776
t: 17.500000	: 8380.334136	vx: 4548.802462	vy: 409.323076
t: 18.000000	: 8584.995674	vx: 4617.342192	vy: 406.596674
t: 18.500000	: 8788.294011	vx: 4682.972897	vy: 403.927110
t: 19.000000	: 8990.257566	vx: 4745.720194	vy: 401.312038
t: 19.500000	: 9190.913584	vx: 4805.608757	vy: 398.749215
t: 20.000000	: 9390.288192	vx: 4862.662366	vy: 396.236496
t: 20.500000	: 9588.406440	vx: 4916.903951	vy: 393.771830
t: 21.000000	: 9785.292355	vx: 4968.355644	vy: 391.353248
t: 21.500000	: 9980.968979	vx: 5017.038815	vy: 388.978868
t: 22.000000	: 10175.458413	vx: 5062.974121	vy: 386.646882
t: 22.500000	: 10368.781854	vx: 5106.181538	vy: 384.355554
t: 23.000000	: 10560.959631	vx: 5146.680401	vy: 382.103218
t: 23.500000	: 10752.011240	vx: 5184.489439	vy: 379.888272
t: 24.000000	: 10941.955376	vx: 5219.626809	vy: 377.709175
t: 24.500000	: 11130.809963	vx: 5252.110126	vy: 375.564445
t: 25.000000	: 11318.592186	vx: 5281.956494	vy: 373.452654
t: 25.500000	: 11505.318513	vx: 5309.182536	vy: 371.372424
t: 26.000000	: 11691.004725	vx: 5333.804422	vy: 369.322430
t: 26.500000	: 11875.665940	vx: 5355.837895	vy: 367.301390
t: 27.000000	: 12059.316635	vx: 5375.298293	vy: 365.308068
t: 27.500000	: 12241.970669	vx: 5392.200581	vy: 363.341270
t: 28.000000	: 12423.641304	vx: 5406.559369	vy: 361.399842
t: 28.500000	: 12604.341225	vx: 5418.388933	vy: 359.482668
t: 29.000000	: 12784.082559	vx: 5427.703244	vy: 357.588668
t: 29.500000	: 12962.876893	vx: 5434.515980	vy: 355.716797
t: 30.000000	: 13140.735291	vx: 5438.840553	vy: 353.866042
t: 30.500000	: 13317.668312	vx: 5440.690127	vy: 352.035423
t: 31.000000	: 13493.686023	vx: 5440.077632	vy: 350.223989
t: 31.500000	: 13668.798017	vx: 5437.015788	vy: 348.430818
t: 32.000000	: 13843.013426	vx: 5431.517122	vy: 346.655016
t: 32.500000	: 14016.340934	vx: 5423.593980	vy: 344.895715
t: 33.000000	: 14188.788792	vx: 5413.258548	vy: 343.152074
t: 33.500000	: 14360.364829	vx: 5400.522868	vy: 341.423273
t: 34.000000	: 14531.076466	vx: 5385.398850	vy: 339.708520
t: 34.500000	: 14700.930725	vx: 5367.898291	vy: 338.007041
t: 35.000000	: 14869.934246	vx: 5348.032886	vy: 336.318087
t: 35.500000	: 15038.093289	vx: 5325.814244	vy: 334.640928
t: 36.000000	: 15205.413753	vx: 5301.253903	vy: 332.974857
t: 36.500000	: 15371.901182	vx: 5274.363339	vy: 331.319185
t: 37.000000	: 15537.560774	vx: 5245.153986	vy: 329.673241
t: 37.500000	: 15702.397395	vx: 5213.637240	vy: 328.036374
t: 38.000000	: 15866.415582	vx: 5179.824478	vy: 326.407951
t: 38.500000	: 16029.619557	vx: 5143.727069	vy: 324.787356
t: 39.000000	: 16192.013236	vx: 5105.356380	vy: 323.173991
t: 39.500000	: 16353.600231	vx: 5064.723796	vy: 321.567271
t: 40.000000	: 16514.383867	vx: 5021.840725	vy: 319.966632
t: 40.500000	: 16674.367183	vx: 4976.718609	vy: 318.371524
t: 41.000000	: 16833.552945	vx: 4929.368937	vy: 316.781410
t: 41.500000	: 16991.943649	vx: 4879.803255	vy: 315.195771
t: 42.000000	: 17149.541535	vx: 4828.033172	vy: 313.614102
t: 42.500000	: 17306.348586	vx: 4774.070374	vy: 312.035913
t: 43.000000	: 17462.366542	vx: 4717.926631	vy: 310.460726
t: 43.500000	: 17617.596905	vx: 4659.613806	vy: 308.888081
t: 44.000000	: 17772.040946	vx: 4599.143867	vy: 307.317527
t: 44.500000	: 17925.699709	vx: 4536.528889	vy: 305.748632
t: 45.000000	: 18078.574025	vx: 4471.781069	vy: 304.180971
t: 45.500000	: 18230.664511	vx: 4404.912730	vy: 302.614139
t: 46.000000	: 18381.971580	vx: 4335.936328	vy: 301.047738
t: 46.500000	: 18532.495449	vx: 4264.864465	vy: 299.481387
t: 47.000000	: 18682.236143	vx: 4191.709888	vy: 297.914716
t: 47.500000	: 18831.193501	vx: 4116.485503	vy: 296.347368
t: 48.000000	: 18979.367185	vx: 4039.204378	vy: 294.778999
t: 48.500000	: 19126.756684	vx: 3959.879751	vy: 293.209276
t: 49.000000	: 19273.361322	vx: 3878.525035	vy: 291.637879
t: 49.500000	: 19419.180261	vx: 3795.153822	vy: 290.064500
t: 50.000000	: 19564.212511	vx: 3709.779896	vy: 288.488845
t: 50.500000	: 19708.456934	vx: 3622.417227	vy: 286.910628
t: 51.000000	: 19851.912248	vx: 3533.079988	vy: 285.329580
t: 51.500000	: 19994.577038	vx: 3441.782551	vy: 283.745439
t: 52.000000	: 20136.449757	vx: 3348.539493	vy: 282.157957
t: 52.500000	: 20277.528736	vx: 3253.365607	vy: 280.566900
t: 53.000000	: 20417.812185	vx: 3156.275895	vy: 278.972041
t: 53.500000	: 20557.298206	vx: 3057.285582	vy: 277.373168
t: 54.000000	: 20695.984789	vx: 2956.410112	vy: 275.770079
t: 54.500000	: 20833.869829	vx: 2853.665155	vy: 274.162586
t: 55.000000	: 20970.951122	vx: 2749.066610	vy: 272.550509
t: 55.500000	: 21107.226376	vx: 2642.630605	vy: 270.933682
t: 56.000000	: 21242.693217	vx: 2534.373501	vy: 269.311949
t: 56.500000	: 21377.349192	vx: 2424.311893	vy: 267.685167
t: 57.000000	: 21511.191775	vx: 2312.462613	vy: 266.053203
t: 57.500000	: 21644.218377	vx: 2198.842732	vy: 264.415936
t: 58.000000	: 21776.426345	vx: 2083.469557	vy: 262.773256
t: 58.500000	: 21907.812973	vx: 1966.360636	vy: 261.125065
t: 59.000000	: 22038.375505	vx: 1847.533756	vy: 259.471275
t: 59.500000	: 22168.111143	vx: 1727.006946	vy: 257.811810
t: 60.000000	: 22297.017048	vx: 1604.798473	vy: 256.146606
t: 60.500000	: 22425.090351	vx: 1480.926843	vy: 254.475608
t: 61.000000	: 22552.328155	vx: 1355.410802	vy: 252.798774
t: 61.500000	: 22678.727541	vx: 1228.269333	vy: 251.116072
t: 62.000000	: 22804.285577	vx: 1099.521654	vy: 249.427482
t: 62.500000	: 22928.999318	vx: 969.187219	vy: 247.732994
t: 63.000000	: 23052.865816	vx: 837.285711	vy: 246.032610
t: 63.500000	: 23175.882121	vx: 703.837046	vy: 244.326342
t: 64.000000	: 23298.045292	vx: 568.861365	vy: 242.614212
t: 64.500000	: 23419.352398	vx: 432.379033	vy: 240.896255
