t: 0.000000	: 0.000000	vx: 0.000000	vy: 449.951327
t: 0.500000	: 224.975663	vx: 268.115555	vy: 443.652008
t: 1.000000	: 446.801668	vx: 530.024992	vy: 437.649184
t: 1.500000	: 665.626260	vx: 785.938169	vy: 431.922469
t: 2.000000	: 881.587494	vx: 1036.050178	vy: 426.453319
t: 2.500000	: 1094.814153	vx: 1280.542683	vy: 421.224828
t: 3.000000	: 1305.426567	vx: 1519.585111	vy: 416.221546
t: 3.500000	: 1513.537340	vx: 1753.335708	vy: 411.429327
t: 4.000000	: 1719.252004	vx: 1981.942488	vy: 406.835189
t: 4.500000	: 1922.669598	vx: 2205.544079	vy: 402.427194
t: 5.000000	: 2123.883196	vx: 2424.270482	vy: 398.194349
t: 5.500000	: 2322.980370	vx: 2638.243758	vy: 394.126507
t: 6.000000	: 2520.043624	vx: 2847.578643	vy: 390.214289
t: 6.500000	: 2715.150768	vx: 3052.383107	vy: 386.449012
t: 7.000000	: 2908.375274	vx: 3252.758861	vy: 382.822622
t: 7.500000	: 3099.786585	vx: 3448.801813	vy: 379.327639
t: 8.000000	: 3289.450405	vx: 3640.602489	vy: 375.957106
t: 8.500000	: 3477.428958	vx: 3828.246411	vy: 372.704541
t: 9.000000	: 3663.781228	vx: 4011.814446	vy: 369.563901
t: 9.500000	: 3848.563179	vx: 4191.383123	vy: 366.529539
t: 10.000000	: 4031.827948	vx: 4367.024923	vy: 363.596174
t: 10.500000	: 4213.626036	vx: 4538.808548	vy: 360.758864
t: 11.000000	: 4394.005468	vx: 4706.799165	vy: 358.012974
t: 11.500000	: 4573.011955	vx: 4871.058634	vy: 355.354152
t: 12.000000	: 4750.689031	vx: 5031.645712	vy: 352.778313
t: 12.500000	: 4927.078187	vx: 5188.616250	vy: 350.281612
t: 13.000000	: 5102.218993	vx: 5342.023368	vy: 347.860427
t: 13.500000	: 5276.149207	vx: 5491.917619	vy: 345.511346
t: 14.000000	: 5448.904880	vx: 5638.347143	vy: 343.231148
t: 14.500000	: 5620.520454	vx: 5781.357808	vy: 341.016793
t: 15.000000	: 5791.028850	vx: 5920.993339	vy: 338.865402
t: 15.500000	: 5960.461551	vx: 6057.295444	vy: 336.774256
t: 16.000000	: 6128.848679	vx: 6190.303926	vy: 334.740775
t: 16.500000	: 6296.219066	vx: 6320.056787	vy: 332.762514
t: 17.000000	: 6462.600323	vx: 6446.590331	vy: 330.837154
t: 17.500000	: 6628.018900	vx: 6569.939253	vy: 328.962491
t: 18.000000	: 6792.500146	vx: 6690.136729	vy: 327.136430
t: 18.500000	: 6956.068361	vx: 6807.214492	vy: 325.356978
t: 19.000000	: 7118.746850	vx: 6921.202913	vy: 323.622236
t: 19.500000	: 7280.557968	vx: 7032.131069	vy: 321.930395
t: 20.000000	: 7441.523166	vx: 7140.026812	vy: 320.279728
t: 20.500000	: 7601.663030	vx: 7244.916830	vy: 318.668589
t: 21.000000	: 7760.997324	vx: 7346.826707	vy: 317.095401
t: 21.500000	: 7919.545025	vx: 7445.780981	vy: 315.558658
