t: 0.000000	: 0.000000	vx: 0.000000	vy: 573.406431
t: 0.500000	: 286.703216	vx: 200.751753	vy: 565.378741
t: 1.000000	: 569.392586	vx: 396.240481	vy: 557.605933
t: 1.500000	: 848.195552	vx: 586.589136	vy: 550.076354
t: 2.000000	: 1123.233730	vx: 771.914937	vy: 542.779044
t: 2.500000	: 1394.623251	vx: 952.329706	vy: 535.703678
t: 3.000000	: 1662.475090	vx: 1127.940189	vy: 528.840524
t: 3.500000	: 1926.895352	vx: 1298.848343	vy: 522.180403
t: 4.000000	: 2187.985554	vx: 1465.151610	vy: 515.714641
t: 4.500000	: 2445.842874	vx: 1626.943171	vy: 509.435044
t: 5.000000	: 2700.560396	vx: 1784.312178	vy: 503.333857
t: 5.500000	: 2952.227325	vx: 1937.343974	vy: 497.403739
t: 6.000000	: 3200.929195	vx: 2086.120298	vy: 491.637733
t: 6.500000	: 3446.748061	vx: 2230.719477	vy: 486.029240
t: 7.000000	: 3689.762681	vx: 2371.216601	vy: 480.571998
t: 7.500000	: 3930.048680	vx: 2507.683692	vy: 475.260058
t: 8.000000	: 4167.678709	vx: 2640.189862	vy: 470.087764
t: 8.500000	: 4402.722591	vx: 2768.801457	vy: 465.049736
t: 9.000000	: 4635.247459	vx: 2893.582195	vy: 460.140853
t: 9.500000	: 4865.317885	vx: 3014.593296	vy: 455.356235
t: 10.000000	: 5092.996003	vx: 3131.893604	vy: 450.691228
t: 10.500000	: 5318.341617	vx: 3245.539701	vy: 446.141395
t: 11.000000	: 5541.412315	vx: 3355.586014	vy: 441.702498
t: 11.500000	: 5762.263564	vx: 3462.084918	vy: 437.370487
t: 12.000000	: 5980.948807	vx: 3565.086831	vy: 433.141492
t: 12.500000	: 6197.519553	vx: 3664.640304	vy: 429.011810
t: 13.000000	: 6412.025458	vx: 3760.792109	vy: 424.977896
t: 13.500000	: 6624.514405	vx: 3853.587317	vy: 421.036354
t: 14.000000	: 6835.032583	vx: 3943.069377	vy: 417.183931
t: 14.500000	: 7043.624548	vx: 4029.280190	vy: 413.417505
t: 15.000000	: 7250.333301	vx: 4112.260173	vy: 409.734081
t: 15.500000	: 7455.200341	vx: 4192.048329	vy: 406.130781
t: 16.000000	: 7658.265732	vx: 4268.682309	vy: 402.604843
t: 16.500000	: 7859.568153	vx: 4342.198470	vy: 399.153609
t: 17.000000	: 8059.144958	vx: 4412.631931	vy: 395.774523
t: 17.500000	: 8257.032219	vx: 4480.016629	vy: 392.465126
t: 18.000000	: 8453.264782	vx: 4544.385367	vy: 389.223049
t: 18.500000	: 8647.876307	vx: 4605.769868	vy: 386.046008
t: 19.000000	: 8840.899311	vx: 4664.200817	vy: 382.931804
t: 19.500000	: 9032.365213	vx: 4719.707908	vy: 379.878313
t: 20.000000	: 9222.304369	vx: 4772.319886	vy: 376.883487
t: 20.500000	: 9410.746113	vx: 4822.064591	vy: 373.945350
t: 21.000000	: 9597.718788	vx: 4868.968991	vy: 371.061989
t: 21.500000	: 9783.249782	vx: 4913.059228	vy: 368.231559
t: 22.000000	: 9967.365561	vx: 4954.360649	vy: 365.452274
t: 22.500000	: 10150.091698	vx: 4992.897841	vy: 362.722409
t: 23.000000	: 10331.452903	vx: 5028.694666	vy: 360.040291
t: 23.500000	: 10511.473048	vx: 5061.774295	vy: 357.404304
t: 24.000000	: 10690.175200	vx: 5092.159237	vy: 354.812880
t: 24.500000	: 10867.581640	vx: 5119.871366	vy: 352.264503
t: 25.000000	: 11043.713892	vx: 5144.931959	vy: 349.757702
t: 25.500000	: 11218.592743	vx: 5167.361714	vy: 347.291051
